Tweet,Timestamp
"The Inspector General's report on Crooked Hillary Clinton is a disaster. Such bad judgement and temperament cannot be allowed in the W.H.",2h
"Thank you Anaheim, California! #Trump2016 pic.twitter.com/AEShamhNVS",16h
"Thank you Washington! Honored to say, on behalf of our great movement, we have broken the all time record for votes in GOP primary history.",21h
"The protesters in New Mexico were thugs who were flying the Mexican flag. The rally inside was big and beautiful, but outside, criminals!",May 25
"Crooked Hillary Clinton just can't close the deal with Bernie. I had to knock out 16 very good and smart candidates. Hillary doesn't have it",May 25
"Goofy Senator Elizabeth Warren @elizabethforma has done less in the U.S. Senate than practically any other senator. All talk, no action!",May 25
"@elizabethforma  Goofy Elizabeth Warren, sometimes known as Pocahontas, bought foreclosed housing and made a quick killing. Total hypocrite!",May 25
"'@gordonsr1052:  Washington, BIG Thank You for supporting Trump! We are all going to help Trump Make America Great Again! Trump2016!'",May 24
"'@buiIdthewall: @realDonaldTrump high energy!'",May 24
"'@PiperSul: Great speech tonight Mr.Trump! Good Luck in California! Thank you.",May 24
"'@DeepakS76435750: @realDonaldTrump congratulations from India'",May 24
"'@oasisupernova: @realDonaldTrump UP TO 8.4 MILLION FOLLOWERS. CAN'T STOP THE #TrumpTrain 🚂 #MakeAmericaGreatAgain'",May 24
"'@jknatter: @realDonaldTrump #TrumpTrain'",May 24
"'@tcloer11: @realDonaldTrump Great job! Make America Great Again!'",May 24
"@elizabethforma Goofy Elizabeth Warren, sometimes referred to as Pocahontas because she faked the fact she is native American, is a lowlife!",May 24
"Great rally in New Mexico, amazing crowd! Now in L.A. Big rally in Anaheim.",May 24
"Thank you Washington! #Trump2016 #MakeAmericaGreatAgain pic.twitter.com/v9glTwj6gy",May 24
"Great honor to receive today's endorsement of @RickSantorum. Really nice! #Trump2016",May 24
"After raising, w/ no obligation, almost $6M for Vets, I couldn't believe protesters formed @ Trump Tower. JUST OUT- SENT BY CROOKED HILLARY!",May 24
"Thank you @DailyMail- for setting the failing @NYTimes story straight. This is what the NYT's should have written!  dailymail.co.uk/news/article-3…",May 24
"A suggestion for the dishonest media- instagram.com/p/BFy12zpmhc9/",May 24
"A wonderfully written article concerning Israel by @JasonDovEsq blogs.timesofisrael.com/a-trump-presid…",May 24
"A great new book has been written about Crooked Hillary. Read it & you will never be able to vote for her. @Ed_Klein amazon.com/Unlikeable-Pro…",May 24
"Crooked Hillary Clinton overregulates, overtaxes and doesn't care about jobs. Most importantly, she suffers from plain old bad judgement!",May 24
"I just released my financial disclosure forms, the largest numbers in the history of the F.E.C. Even the dishonest media thinks great!",May 24
"Amazingly, with all of the money I have raised for the vets, I have got nothing but bad publicity from the dishonest and disgusting media.",May 23
"Much of the money I have raised for our veterans has already been distributed, with the rest to go shortly to various other veteran groups.",May 23
"While under no obligation to do so, I have raised between 5 & 6 million dollars, including 1million dollars from me, for our VETERANS. Nice!",May 23
"Join me in California or Montana! 5/25/16: Anaheim, California bit.ly/20nwDoeANAHEIM 5/26/16: Billings, Montana bit.ly/22mHf8nMONTANA",May 23
"I will be interviewed on @oreillyfactor at 8:00 P.M. Enjoy!",May 23
"Obama’s VA Secretary just said we shouldn't measure wait times. Hillary says VA problems are not ‘widespread.’ I will take care of our vets!",May 23
"Is Hillary really protecting women? instagram.com/p/BFwTioiGhQj/",May 23
"In trade, military and EVERYTHING else, it will be AMERICA FIRST! This will quickly lead to our ultimate goal: MAKE AMERICA GREAT AGAIN!",May 23
"Thank you America! #Trump2016 pic.twitter.com/xfINxdRNiQ",May 22
"The American people are sick and tired of not being able to lead normal lives and to constantly be on the lookout for terror and terrorists!",May 22
"Bernie Sanders is continuing his quest because he believes that Crooked Hillary Clinton will be forced out of the race - e-mail scandal!",May 22
"Join me on Wednesday, May 25th at the Anaheim Convention Center! #Trump2016 #MAGA  Tickets: bit.ly/20nwDoeANAHEIM pic.twitter.com/xGkVbxTamz",May 22
"Crooked Hillary wants a radical 500% increase in Syrian refugees. We can’t allow this. Time to get smart and protect America!",May 22
"How can Crooked Hillary say she cares about women when she is silent on radical Islam, which horribly oppresses women?",May 22
"BREAKING POLL: Trump Gains 11 Points on Clinton Since March=> Now Leads Crooked Hillary 46-44 shar.es/1d46Y3 via @gatewaypundit",May 21
"Why do the networks continue to put dopey @BillKristol on panels when he has called every single shot about me wrong for 2 yrs?",May 22
"Hillary Clinton is not qualified to be president because her judgement has been proven to be so bad! Would be four more years of stupidity!",May 22
"Crooked Hillary said that I  want guns brought into the school classroom. Wrong!",May 21
"'@dubilujane: I trust @realDonaldTrump more anyone ever to protect America.He WILL do the right thing for the U.S.A, without a  doubt.",May 21
"Thank you to all of the men and women who have served our country. You are our true heroes! #ArmedForcesDay pic.twitter.com/A3Wus0cRIO",May 21
"Crooked Hillary Clintons foreign interventions unleashed ISIS in Syria, Iraq and Libya. She is reckless and dangerous!",May 21
"MAKE AMERICA GREAT AGAIN! pic.twitter.com/MAZK5bdZuD",May 21
".@CNN is so negative, getting even worse as I get closer. Just had two anti-Trump losers with zero rebuttal from my team. Turning off!",May 21
