Tweet,Timestamp
"Congratulations to @seanhannity on his tremendous increase in television ratings. Speaking of ratings- I will be on his show tonight @ 10pE.",3h
"I am getting great credit for my press conference today. Crooked Hillary should be admonished for not having a press conference in 179 days.",3h
"Katie Couric, the third rate reporter, who has been largely forgotten, should be ashamed of herself for the fraudulent editing of her doc.",3h
"I will be interviewed on @seanhannity tonight at 10pmE on @FoxNews. Enjoy!",3h
"Join me in Sacramento, California-tomorrow evening @ 7pm! #Trump2016 bit.ly/22wd27rSACRAME… pic.twitter.com/km0rRYSDnO",5h
"So many veterans groups are beyond happy with all of the money I raised/gave! It was my great honor - they do an amazing job.",9h
"Just finished a press conference in Trump Tower wherein I gave information on which VETERANS groups got the $5,600,000 that I raised/gave!",9h
"I have raised/given a tremendous amount of money to our great VETERANS, and have got nothing but bad publicity for doing so. Watch!",14h
"So many great things happening - new poll numbers looking good! News conference at 11:00 A.M. today, Trump Tower!",15h
"I should have easily won the Trump University case on summary judgement but have a judge, Gonzalo Curiel, who is totally biased against me.",May 30
"I have a judge in the Trump University civil case, Gonzalo Curiel (San Diego), who is very unfair. An Obama pick. Totally biased-hates Trump",May 30
"I hope everyone had a great Memorial Day!",May 30
"I would have had millions of votes more in the primaries (than Crooked Hillary) if I only had one opponent, instead of sixteen. Broke record",May 30
"Have a great Memorial Day and remember that we will soon MAKE AMERICA GREAT AGAIN!",May 30
"'@NBCDFW: Trump rallies veterans at annual Rolling Thunder Gathering on.nbcdfw.com/ktSIwa2 pic.twitter.com/RCDeLvHQqD'",May 30
"'@FrankyLamouche: how many of donald's rolling thunder brigade will sign up and go to war for him in the middle east.'",May 30
"'@MariaErnandez3b: Trump Supports Rolling Thunder Rally #TRUMP STRONG pic.twitter.com/pfVXQ8NdZu' So true, and remember the M.I.A.'s!",May 30
"'@ScottWRasmussen: Donald Trump and Bikers Share Affection at Rolling Thunder Rally nyti.ms/1NXyK1v' A great day in D.C.!",May 30
"'@TeaPartyNevada: #Trump2016 'Illegals are taken care of better than our veterans.'  dailym.ai/27YaPWn pic.twitter.com/1cEZ8wG7Cy'",May 30
"The endorsement of me by the 16,500 Border Patrol Agents was the first time that they ever endorsed a presidential candidate. Nice!",May 30
"In getting the endorsement of the 16,500 Border Patrol Agents (thank you), the statement was made that the WALL was very necessary!",May 30
"Obama says a WALL at our southern border won't enhance our security (wrong) and yet he now wants to build a much bigger wall (fence) at W.H.",May 30
"If dummy Bill Kristol actually does get a spoiler to run as an Independent, say good bye to the Supreme Court!",May 29
"The Republican Party has to be smart & strong if it wants to win in November. Can't allow lightweights to set up a spoiler Indie candidate!",May 29
"Bill Kristol has been wrong for 2yrs-an embarrassed loser, but if the GOP can't control their own, then they are not a party. Be tough, R's!",May 29
"Good news is that my campaign has perhaps more cash than any campaign in the history of politics- b/c I stand 100% behind everything we do.",May 29
"Heading to D.C. to see and hear ROLLING THUNDER. Amazing people that LOVE OUR COUNTRY. Great spirit!",May 29
"Honor Memorial Day by thinking of and respecting all of the great men and women that gave their lives for us and our country! We love them.",May 29
"Does President Obama ever discuss the sneak attack on Pearl Harbor while he's in Japan? Thousands of American lives lost. #MDW",May 28
"Don't believe the biased and phony media quoting people who work for my campaign. The only quote that matters is a quote from me!",May 28
"I am always on the front page of the failing @nytimes, but when I won the GOP nomination, I'm in the back of the paper. Very dishonest!",May 28
"The media is on a new phony kick about my management style. I spend much less money & get much better results! What we need as Prez!",May 28
"The failing @nytimes wrote a story about my management style & that I don't have many people. I have 73, Hillary has 800- & I'm beating her.",May 28
"I (we) broke the all-time record for most votes gotten in a Republican Primary - by a lot - and with many states left to go! Thank you.",May 28
"The U.S. has 69 treaties with other countries where we would have to defend them and their borders. How nice, but what do we get? NOT ENOUGH",May 28
"Great rally in Fresno, California- great crowd! Thank you! #Trump2016 pic.twitter.com/TVSPvxOmve",May 27
"Obama administration fails to screen Syrian refugees' social media accounts: m.washingtontimes.com/news/2016/apr/…",May 27
".@SanDiegoPD- Fantastic job on handling the thugs who tried to disrupt our very peaceful and well attended rally. Greatly appreciated!",May 27
"Thank you @BillyJoel- many friends just told me you gave a very kind shoutout at MSG. Appreciate it- love your music!",May 27
"Wow- 25,000 in San Diego, California! Thank you!! #Trump2016 pic.twitter.com/1NRj3zCuui",May 27
"I am on @oreillyfactor tonight, a big special. @FoxNews  at 8:00 P.M. ENJOY!",May 27
"Bill O'Reilly doing a major special on @OreillyFactor tonight- @FoxNews at 8pmE. Watch it, should be good! #Trump2016",May 27
"AN AMERICA FIRST ENERGY PLAN #MakeAmericaGreatAgain #Trump2016 donaldjtrump.com/press-releases… pic.twitter.com/WjI8Rx11no",May 27
"Poll data shows that @marcorubio does by far the best in holding onto his Senate seat in Florida. Important to keep the MAJORITY. Run Marco!",May 26
"Today we, together, won the Republican Nomination for President! instagram.com/p/BF41LOUmhRp/",May 26
"My wife @MELANIATRUMP, and my children will be featured on @FoxNews with @Greta- 7pmE. Enjoy! #MeetTheTrumps #Trump2016",May 26
"Celebrating 1237! #Trump2016  instagram.com/p/BF4raEHmhag/",May 26
"Thank you! #Trump2016 bigstory.ap.org/article/a38267…",May 26
"I find it offensive that Goofy Elizabeth Warren, sometimes referred to as Pocahontas, pretended to be Native American to get in Harvard.",May 26
"Thank you Mr. & Mrs. @TomBarrackJr for the wonderful and magical evening last night. It will not be forgotten. #Trump2016",May 26
".@kimguilfoyle- just watched you on @OutnumberedFNC- thank you!",May 26
"The Inspector General's report on Crooked Hillary Clinton is a disaster. Such bad judgement and temperament cannot be allowed in the W.H.",May 26
"Thank you Anaheim, California! #Trump2016 pic.twitter.com/AEShamhNVS",May 25
"Thank you Washington! Honored to say, on behalf of our great movement, we have broken the all time record for votes in GOP primary history.",May 25
"The protesters in New Mexico were thugs who were flying the Mexican flag. The rally inside was big and beautiful, but outside, criminals!",May 25
"Crooked Hillary Clinton just can't close the deal with Bernie. I had to knock out 16 very good and smart candidates. Hillary doesn't have it",May 25
"Goofy Senator Elizabeth Warren @elizabethforma has done less in the U.S. Senate than practically any other senator. All talk, no action!",May 25
"@elizabethforma  Goofy Elizabeth Warren, sometimes known as Pocahontas, bought foreclosed housing and made a quick killing. Total hypocrite!",May 25
"'@gordonsr1052:  Washington, BIG Thank You for supporting Trump! We are all going to help Trump Make America Great Again! Trump2016!'",May 24
"'@buiIdthewall: @realDonaldTrump high energy!'",May 24
"'@PiperSul: Great speech tonight Mr.Trump! Good Luck in California! Thank you.",May 24
"'@DeepakS76435750: @realDonaldTrump congratulations from India'",May 24
"'@oasisupernova: @realDonaldTrump UP TO 8.4 MILLION FOLLOWERS. CAN'T STOP THE #TrumpTrain 🚂 #MakeAmericaGreatAgain'",May 24
"'@jknatter: @realDonaldTrump #TrumpTrain'",May 24
"'@tcloer11: @realDonaldTrump Great job! Make America Great Again!'",May 24
"@elizabethforma Goofy Elizabeth Warren, sometimes referred to as Pocahontas because she faked the fact she is native American, is a lowlife!",May 24
